GGAP,TFP
2.34,-0.025220971
0.06,-0.392559025
0.34,0.005187861
0.3,0.012778324
0.4,0.008136925
0.58,0.014893066
0.58,0.0210626
0.28,0.007993732
0.44,0.011428926
0.24,-0.003766945
0.44,-0.006256803
0.3,0.015754362
0.44,-0.005880093
0.44,-0.013974189
0.24,0.036494603
0.94,0.012485289
1.28,0.003727269
0.84,0.005009122
0.84,-0.003312008
0.88,0.005739483
1.22,-0.002378842
1.34,0.001163896
1.14,0.002081199
1.28,0.027293356
0.74,0.006034029
1.74,-0.004911464
-0.06,0.008407312
0.14,0.008085057
-0.06,0.011764014
-0.2,-0.024445161
0.2,0.00052072
-0.36,-0.013995444
-0.06,0.012346793
-0.2,0.015875679
0.14,0.01051737
0.04,0.023361513
-0.2,-0.009498361
0.04,-0.00026555
-0.7,-0.002339415
0,0.01410669
-0.92,-0.034623797
0.04,0.017731844
2.38,0.006699708
1.92,-0.00791933
2.26,-0.014664118
0.04,-0.587094646
0.32,0.00749919
0.3,0.011892698
0.4,0.007480939
0.54,0.017613351
0.54,0.02842536
0.24,0.019048534
0.42,0.004761328
0.22,-0.001227271
0.42,-0.006058053
0.3,0.018070344
0.42,-0.005143676
0.42,-0.006256457
0.22,0.02968696
0.92,0.020443271
1.24,0.00428445
0.82,0.005650552
0.82,0.005994974
0.84,0.011537904
1.16,-0.00724633
1.32,0.015432917
1.12,0.004791825
1.24,0.017694019
0.72,0.004920564
1.72,0.018689406
-0.08,0.008092522
0.12,0.005368164
-0.08,0.01247712
-0.2,-0.005444311
0.2,0.002252889
-0.38,-0.004306067
-0.08,0.013599316
-0.2,0.012601323
0.12,0.01485675
0.02,0.026566404
-0.2,0.002729659
0.02,0.003657458
-0.7,-0.004844383
0,0.016876693
-1.06,-0.027114264
0.02,0.020369778
2.34,0.004626344
1.86,-0.007985447
2.18,-0.000715374
0.02,-2.852281927
0.3,0.005532073
0.3,0.010525432
0.4,0.003816394
0.5,0.01009425
0.5,0.029918779
0.2,0.02258794
0.4,0.005197263
0.2,0.000340691
0.4,-0.010685607
0.3,0.017977723
0.4,-0.005499228
0.4,-0.009666628
0.2,0.030040248
0.9,0.023614542
1.2,0.004709609
0.8,0.004076051
0.8,0.007082749
0.8,0.013338196
1.1,-0.010309856
1.3,0.019416662
1.1,0.003410647
1.2,0.017163691
0.7,0.003111874
1.7,0.013894835
-0.1,0.007843534
0.1,0.002715262
-0.1,0.012614956
-0.2,0.006815948
0.2,0.002412198
-0.4,-0.002971652
-0.1,0.008618479
-0.2,0.003397212
0.1,0.011212114
0,0.019129053
-0.2,0.004441009
0,0.002406042
-0.7,-0.005746066
0,0.023904121
-1.2,-0.043283653
0,0.017888003
2.3,0.012864987
1.8,-0.009683303
2.1,-0.008812667
0,4.478309194
0.3,0.00523836
0.28,0.010694514
0.38,0.005326278
0.48,0.012806504
0.48,0.028394562
0.16,0.019982515
0.38,0.0031691
0.18,0.000368272
0.38,-0.011131621
0.28,0.006509603
0.36,-0.004357255
0.38,-0.000450626
